Date,Open,High,Low,Close,Adj Close,Volume
2010-05-01,41.299999,41.900002,30.930000,34.040001,34.040001,394562300
2010-06-01,33.650002,36.040001,32.450001,33.959999,33.959999,239913400
2010-07-01,33.630001,35.560001,32.270000,35.340000,35.340000,187234900
2010-08-01,36.180000,37.150002,31.500000,31.920000,31.920000,201538400
2010-09-01,32.470001,34.959999,32.200001,34.840000,34.840000,184622600
2010-10-01,35.349998,36.669998,34.560001,35.169998,35.169998,179410400
2010-11-01,36.139999,38.060001,34.549999,36.040001,36.040001,220332100
2010-12-01,36.700001,39.250000,36.200001,39.000000,39.000000,137018100
2011-01-01,39.340000,39.480000,35.930000,38.610001,38.610001,218842800
2011-02-01,38.669998,40.599998,35.209999,39.189999,39.189999,358363800
2011-03-01,39.520000,42.830002,39.150002,42.599998,42.599998,432096600
2011-04-01,42.720001,45.349998,42.099998,45.150002,45.150002,216145300
2011-05-01,44.990002,45.599998,37.720001,40.500000,40.500000,428646300
2011-06-01,40.540001,40.560001,35.139999,37.240002,37.240002,269778500
2011-07-01,36.970001,39.250000,36.660000,37.419998,37.419998,175947800
2011-08-01,38.389999,38.470001,30.309999,34.509998,34.509998,373915800
2011-09-01,34.480000,35.080002,30.230000,30.490000,30.490000,242011200
2011-10-01,30.010000,36.490002,29.100000,35.740002,35.740002,271398700
2011-11-01,34.630001,39.740002,34.540001,38.779999,38.779999,278356400
2011-12-01,38.660000,39.500000,35.730000,38.110001,38.110001,199938000
2012-01-01,39.240002,39.959999,37.490002,37.820000,37.820000,205625300
2012-02-01,38.130001,42.070000,36.680000,40.919998,40.919998,196073100
2012-03-01,41.139999,42.299999,38.869999,39.230000,39.230000,230615300
2012-04-01,38.930000,40.130001,38.310001,39.680000,39.680000,115590300
2012-05-01,39.630001,40.290001,32.369999,32.610001,32.610001,173034200
2012-06-01,31.700001,32.799999,29.020000,31.830000,31.830000,218015500
2012-07-01,31.430000,34.840000,30.820000,32.680000,32.680000,186822100
2012-08-01,33.029999,36.450001,32.459999,35.889999,35.889999,150928700
2012-09-01,35.959999,37.169998,32.980000,34.119999,34.119999,175777500
2012-10-01,34.450001,34.700001,31.350000,31.780001,31.780001,193361900
2012-11-01,31.850000,32.930000,31.000000,32.560001,32.560001,167661300
2012-12-01,33.040001,33.470001,31.219999,33.369999,33.369999,83507600
2013-01-01,34.000000,35.529999,33.570000,35.279999,35.279999,91482000
2013-02-01,35.020000,35.520000,32.959999,33.060001,33.060001,95979900
2013-03-01,32.660000,34.840000,32.160000,34.750000,34.750000,85295400
2013-04-01,34.430000,34.860001,30.790001,33.160000,33.160000,138044800
2013-05-01,32.369999,34.590000,32.119999,32.610001,32.610001,143471400
2013-06-01,32.930000,35.060001,32.790001,34.180000,34.180000,104279000
2013-07-01,34.610001,38.619999,34.459999,37.360001,37.360001,130623600
2013-08-01,38.099998,39.459999,36.349998,38.480000,38.480000,147633400
2013-09-01,38.250000,39.540001,36.400002,36.849998,36.849998,121577200
2013-10-01,36.610001,37.590000,34.590000,34.689999,34.689999,138646200
2013-11-01,34.450001,34.450001,32.950001,33.459999,33.459999,109617000
2013-12-01,33.470001,36.070000,33.419998,35.320000,35.320000,103047300
2014-01-01,34.689999,35.180000,32.680000,34.799999,34.799999,117018900
2014-02-01,34.799999,37.110001,34.360001,36.740002,36.740002,71033000
2014-03-01,37.389999,37.740002,34.970001,36.590000,36.590000,66206100
2014-04-01,36.450001,37.810001,35.630001,36.320000,36.320000,57402400
2014-05-01,36.029999,38.270000,35.959999,37.680000,37.680000,41454900
2014-06-01,37.520000,39.439999,37.209999,38.880001,38.880001,45952100
2014-07-01,39.020000,39.119999,36.270000,36.320000,36.320000,76787500
2014-08-01,36.119999,36.560001,34.580002,35.759998,35.759998,72640900
2014-09-01,35.279999,35.759998,33.910000,34.410000,34.410000,97141500
2014-10-01,34.599998,34.980000,30.160000,30.629999,30.629999,176409600
2014-11-01,30.510000,30.719999,25.459999,25.580000,25.580000,208701300
2014-12-01,25.309999,26.389999,19.840000,20.360001,20.360001,482687900
2015-01-01,19.969999,20.350000,16.299999,17.820000,17.820000,664106500
2015-02-01,18.400000,20.290001,17.580000,18.100000,18.100000,751157900
2015-03-01,18.129999,19.100000,15.610000,16.840000,16.840000,660352100
2015-04-01,17.000000,20.549999,16.930000,20.510000,20.510000,576791000
2015-05-01,20.299999,21.500000,19.090000,20.309999,20.309999,429076200
2015-06-01,20.360001,20.799999,19.230000,19.879999,19.879999,333372900
2015-07-01,19.540001,19.580000,15.540000,15.590000,15.590000,530800600
2015-08-01,15.290000,16.150000,12.370000,15.890000,15.890000,684987700
2015-09-01,15.480000,15.850000,14.160000,14.680000,14.680000,613877300
2015-10-01,15.150000,16.200001,13.610000,14.810000,14.810000,614383800
2015-11-01,14.690000,15.450000,12.810000,12.930000,12.930000,517444500
2015-12-01,12.920000,13.110000,10.520000,11.000000,11.000000,744772800
2016-01-01,11.260000,11.420000,7.920000,9.650000,9.650000,1248579200
2016-02-01,9.350000,9.650000,7.670000,9.000000,9.000000,1095273600
2016-03-01,8.980000,10.800000,8.890000,9.700000,9.700000,875490300
2016-04-01,9.410000,11.500000,8.990000,11.300000,11.300000,753032200
